Int_no,Rue_1,Rue_2,Arrondissement,X,Y,Longitude,Latitude
1646,Hector-Barsalou,Notre-Dame,Mercier - Hochelaga - Maisonneuve,304014.02,5049229.51,-73.51014789999999,45.5830508
1648,Sherbrooke,7846 (face Fonteneau),Mercier - Hochelaga - Maisonneuve,302011.16,5050599,-73.534798,45.5955147
1656,Côte-Vertu,3600 face Bazar,Saint-Laurent,288499.34,5039329,-73.567256,45.5016889
1657,Côte-Vertu,Sainte-Croix,Saint-Laurent,290738.09,5041832.5,-73.6799061,45.5162097
1658,Edouard-Laurin,Marcel-Laurin,Saint-Laurent,290184.75,5041076,-73.68701089999999,45.5094005
1659,Côte-Vertu,Marcel-Laurin,Saint-Laurent,290107.22,5041144.5,-73.6880106,45.510144
1660,Marcel-Laurin,Thimens,Saint-Laurent,289725.81,5041487.5,-73.69280719999999,45.5131611
1661,Marcel-Laurin,1515 Accès Super-C,Saint-Laurent,289550,5041646.5,-73.695448,45.51556009999999
1662,Marcel-Laurin,1757 Accès Maxi,Saint-Laurent,289384.31,5041794,-73.69847229999999,45.5175569
1663,Henri-Bourassa,Marcel-Laurin,Saint-Laurent,288584.59,5042496,-73.7075756,45.5221303
1669,Mentana,Saint-Grégoire,Plateau Mont-Royal,297701.35,5043556.6,-73.590903,45.531896
1675,Acadie,Liban/Olivier-Berthelet,Ahuntsic - Cartierville,291435.26,5043892.07,-73.67100599999999,45.534991
1678,Décarie,Jockeys des inter. Est,Côte-des-Neiges - Notre-Dame-de-Grâce,292816.23,5039457.37,-73.65394549999999,45.4945087
1679,2 e Avenue,Jarry,Villeray - Saint-Michel - Parc-Extension,296029.11,5046757.59,-73.6123461,45.5606882
1684,Elzéar-Soucy,Sauvé,Ahuntsic - Cartierville,291832.34,5043777.75,-73.6661206,45.5338066
1698,Henri-Julien,Rachel,Plateau Mont-Royal,298618.11,5042320.58,-73.57917069999999,45.5207889
1699,Marcel-Laurin,Galerie St-Laurent St-Exupéry,Saint-Laurent,289045.55,5042092.94,-73.6024257,45.5842566
1701,Hochelaga,Vimont,Mercier - Hochelaga - Maisonneuve,301545.99,5047001.71,-73.5416078,45.5628968
1706,Christophe-Colomb,Mistral,Villeray - Saint-Michel - Parc-Extension,294876.95,5045482.24,-73.6271283,45.54914249999999
1708,Chabot,Crémazie Est,Villeray - Saint-Michel - Parc-Extension,295461,5046143.5,-73.6196082,45.5551397
1709,Barnabé-Larocque,Papineau,Villeray - Saint-Michel - Parc-Extension,294943.71,5046291.63,-73.6262102,45.5565409
1723,Saint-Charles,3933 Accès Rona,Pierrefonds - Roxboro,276085.09,5035772,-73.567256,45.5016889
1726,Grey,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,296485.58,5037397.53,-73.52940579999999,45.6058591
1731,Acadie,Salaberry,Ahuntsic - Cartierville,289514.34,5044555,-73.6957609,45.540686
1733,Montagne,Wellington,Ville-Marie,300241.44,5039093.98,-73.56096409999999,45.4749232
1737,Birnam,Sauvé,Ahuntsic - Cartierville,291888.91,5044077.04,-73.6654858,45.5365394
1738,Chemin-des-Moulins,Pierre-Dupuy int. Est,Ville-Marie,301357.2,5038834.5,-73.5441855,45.4888141
1750,Henri-Bourassa Est,Nicolas-Josselin,Rivières-des-Prairies - Pointe-aux-Trembles,297621.31,5053131.6,-73.5920936,45.6180288
1751,Henri-Bourassa Est,Louis-Hippolyte-La Fontaine,Anjou,297199,5052746,-73.59632959999999,45.61515370000001
1757,Dollard,Newman,LaSalle,294252.63,5032303.23,-73.63491669999999,45.4306115
1811,La Vérendrye,Trinitaires,Sud-Ouest,297554.81,5033933,-73.5925812,45.445189
1906,Boyer,Villeray,Villeray - Saint-Michel - Parc-Extension,295411.2,5045022.07,-73.6202189,45.5450588
1941,Émile-Nelligan,Laurentien,Ahuntsic - Cartierville,287451.4,5043247,-73.7221015,45.5289331
1942,Jean-Talon,Saint-Dominique,Villeray - Saint-Michel - Parc-Extension,295631.59,5043925,-73.6173677,45.535179
2008,Bennett,Hochelaga,Mercier - Hochelaga - Maisonneuve,301270.13,5046361.65,-73.54527159999999,45.5571828
2021,Christophe-Colomb,Henri-Gauthier 30 m au Nord,Ahuntsic - Cartierville,294504.07,5045936,-73.567256,45.5016889
2028,Cathédrale,Notre-Dame,Ville-Marie,299899.55,5039557.06,-73.5561204,45.5045254
2039,Maisonneuve,Prud'Homme,Côte-des-Neiges - Notre-Dame-de-Grâce,296462.79,5036938.36,-73.6066177,45.4723478
2047,Berri,De La Gauchetière,Ville-Marie,300413.66,5041458.52,-73.5597267,45.5148865
